COVID-19 Vaccinations in the United States
Date generated: Mon Sep 06 2021 18:03:49 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,981175,134124,177890,736809,100720,685841,124345,400061,54.7,371144,67.3,347597,47.5,325527,59,516675,405200,59300,0,31071,299405,406122,211,136896,181518,29130,53,136519,159957,29002,49,318648,54.7,371144,67.3,43.6,296704,53.8,400061,77602,84.7,72621,79.3,40598,29091,2908,24,147726,161294,1071290,398773,65.5,346799,57,136892,180726,29128,53,734722,120668,161145
Alabama,6294440,128375,164997,4209610,85855,4011317,105149,2474109,50.5,2351484,61.6,1915710,39.1,1839462,48.2,3184560,2828580,281300,0,134599,1879034,2195971,6,822368,955985,137022,335,821989,880197,136942,334,1779498,50.5,2351484,61.6,36.3,1703329,44.6,2474109,723197,85.1,620466,73,328043,258115,34098,210,1306706,153760,740664,2473726,59.1,1915654,45.8,822356,955950,137013,335,4209214,100533,150337
Arkansas,3785620,125443,163339,2846451,94322,2661521,114837,1624010,53.8,1514827,65.4,1281817,42.5,1206330,52,1924380,1682340,178900,0,94722,1250413,1499138,2178,551733,636592,92927,565,550714,562639,92429,548,1189380,53.8,1514827,65.4,39.4,1114367,48.1,1624010,440960,84.2,372121,71,211733,146186,13881,321,811018,154809,722609,1620239,63.4,1280337,50.1,551726,635237,92810,564,2841260,111106,148035
American Samoa,58530,105102,134939,56971,102302,48908,112756,31480,56.5,26711,61.6,26086,46.8,22820,52.6,42330,15600,600,0,545,14237,42188,1,6332,19201,553,0,6318,15950,552,0,25534,56.5,26711,61.6,45.9,22269,51.3,31480,2799,29.7,2543,26.9,1048,1470,25,0,5246,55596,620284,31471,66.2,26081,54.8,6331,19197,553,0,56957,119766,123073
Arizona,9505440,130592,168582,7871103,108139,7359630,130525,4172707,57.3,3893346,69,3568380,49,3348344,59.4,5148780,3925660,431000,0,279024,3241787,4338951,11341,1403316,1891561,269969,3534,1402808,1672465,269574,3497,3300007,57.3,3893346,69,45.3,3080361,54.6,4172707,1150455,87.9,1003003,76.6,493139,463140,44848,1876,2288834,174903,726364,4171813,67.2,3568017,57.5,1403292,1891457,269735,3533,7870085,126813,153164
Bureau of Prisons,229110,N/A,N/A,219248,N/A,219246,N/A,118221,N/A,118219,N/A,111474,N/A,111473,N/A,122850,95660,10600,0,10878,88666,119704,0,42630,57994,10850,0,42630,57994,10849,0,100662,N/A,118219,N/A,0,100662,0,118221,3492,0,3424,0,1652,1618,154,0,6787,0,0,118219,0,111473,0,42630,57994,10849,0,219246,0,0
California,56163215,142141,183435,48434737,122582,44829621,146418,27416982,69.4,25391560,82.9,22259835,56.3,20678641,67.5,31312755,22234660,2615800,0,1788112,18820314,27813798,12513,8268275,12211037,1776714,3809,8243183,10662554,1769342,3562,20496115,69.4,25391560,82.9,51.9,18922219,61.8,27416982,5722710,98,4619327,79.1,2344161,2094970,178967,1229,10372579,177670,962009,27336973,81.2,22211191,66,8267851,12163158,1776381,3801,48305825,143570,166923
Colorado,7931375,137728,176283,6880652,119482,6388517,141992,3671740,63.8,3406329,75.7,3301367,57.3,3075908,68.4,4371555,3219520,340300,0,257047,2756166,3862907,4532,1277374,1769780,252837,1376,1273751,1549161,251668,1328,3050238,63.8,3406329,75.7,53,2825927,62.8,3671740,759643,90.2,692683,82.2,339293,329828,23080,482,1484566,176228,941508,3659936,74.1,3293293,66.7,1277359,1761745,252814,1375,6860606,138989,160682
Connecticut,5385355,151050,189769,4856545,136218,4497956,158499,2640590,74.1,2445671,86.2,2368830,66.4,2209601,77.9,2945955,2189400,250000,0,199371,1822622,2833670,882,855883,1314006,198634,307,855500,1155392,198465,244,2170847,74.1,2445671,86.2,60.9,2011775,70.9,2640590,617868,98,576173,91.4,227413,328742,19953,65,1198942,190235,854487,2639278,85,2368366,76.3,855678,1313826,198556,306,4854843,156308,173389
District of Columbia,1180385,167253,204367,956911,135588,922265,159677,480540,68.1,458280,79.3,408215,57.8,393097,68.1,664785,461200,54400,0,30177,366140,560167,427,150529,223595,33849,242,150472,208572,33828,225,374661,68.1,458280,79.3,53.1,359563,62.3,480540,79112,90.6,70886,81.2,38859,29555,2442,30,181436,207728,1351440,480434,78.8,408167,66.9,150523,223558,33846,240,956822,156919,193584
Dept of Defense,4852940,N/A,N/A,5040123,N/A,4782857,N/A,2825027,N/A,2677575,N/A,2155031,N/A,2049203,N/A,2787120,1872520,193300,0,206798,1924892,2907050,1383,774089,1186862,194075,5,773967,1081322,193909,5,1961053,N/A,2677575,N/A,0,1855389,0,2825027,200278,0,147764,0,52695,88093,6976,0,376128,0,0,2824859,0,2154970,0,774074,1186837,194054,5,5039908,0,0
Delaware,1482145,152208,192438,1161247,119253,1087404,141186,627891,64.5,589524,76.5,542975,55.8,512246,66.5,820185,596160,65800,0,49422,452336,658448,1041,201113,292665,48791,406,201005,262086,48752,403,494394,64.5,589524,76.5,50.8,463703,60.2,627891,182247,96.5,163018,86.3,67101,86566,9131,220,348518,184493,784594,627725,74.7,542933,64.6,201109,292636,48782,406,1161051,138252,176486
Florida,30863035,143698,178939,25240490,117519,23922482,138699,13839624,64.4,13086576,75.9,11546840,53.8,11003594,63.8,16907775,12260760,1694500,0,1175067,9623127,14360398,81898,4146571,6217111,1158216,24942,4145168,5676854,1156771,24801,10394809,64.4,13086576,75.9,48.4,9852977,57.1,13839624,4266091,94.9,3715262,82.6,1811314,1693727,194621,15600,8426334,187363,686251,13831727,74,11545220,61.8,4145922,6216911,1157446,24941,25231755,134958,165078
Federated States of Micronesia,80600,77767,99844,66719,64374,66129,81918,42128,40.6,41534,51.5,34657,33.4,34630,42.9,1800,68600,10200,0,11171,54982,566,0,23969,85,10602,1,23964,84,10581,1,24086,40.6,41534,51.5,23.2,24080,29.8,42128,3333,19,2951,16.8,1952,6,993,0,5348,30454,458972,42115,47.6,34649,39.1,23968,85,10595,1,66705,75365,91064
Georgia,13637925,128449,168088,9947287,93688,9371966,115510,5516935,52,5168163,63.7,4468684,42.1,4240029,52.3,7370685,5668040,599200,0,262179,4068693,5610262,6153,1777647,2428368,260579,2090,1776969,2200917,260183,1960,4210745,52,5168163,63.7,39.7,3982449,49.1,5516935,1299015,85.6,1127600,74.3,621248,474175,31218,959,2529264,166733,899034,5514818,61.4,4468244,49.7,1777601,2428077,260479,2087,9944881,110645,151733
Guam,215770,130164,167116,218039,131533,197231,152757,118688,71.6,107066,82.9,104891,63.3,95737,74.1,122070,74200,19500,0,7979,75003,135056,1,34900,62366,7625,0,34886,53232,7619,0,97280,71.6,107066,82.9,58.7,88132,68.3,118688,15854,56.4,14769,52.6,6179,8137,453,0,30433,108353,768220,118667,83.8,104884,74.1,34899,62361,7624,0,218012,154005,152421
Hawaii,2161910,152691,193719,1799439,127091,1688141,151267,1057042,74.7,985919,88.3,788314,55.7,746185,66.9,1218570,861640,81700,0,44797,608772,1052102,93768,265016,459755,45456,18087,264422,418395,45298,18070,742942,74.7,985919,88.3,52.5,700969,62.8,1057042,275664,99.9,229861,85.6,95694,123430,9325,1412,498341,185638,805337,1053225,87,786804,65,264966,458342,45420,18076,1794847,148199,178507
Iowa,3972415,125906,163593,3329288,105522,3131049,128944,1786061,56.6,1677484,69.1,1643833,52.1,1555855,64.1,2167035,1616680,188700,0,141836,1352688,1834435,329,649717,854330,139557,229,649540,766602,139485,228,1504701,56.6,1677484,69.1,47.7,1416792,58.3,1786061,502189,90.8,484725,87.7,255560,216025,13037,103,986457,178398,718399,1785977,66.7,1643806,61.4,649710,854312,139555,229,3329238,124398,148430
Idaho,2059860,115265,153851,1475577,82570,1474642,110141,798570,44.7,796619,59.5,706372,39.5,705229,52.7,1109340,850420,100100,0,62288,615606,795907,1776,280074,363846,61981,471,280053,362746,61961,469,644721,44.7,796619,59.5,36.1,643598,48.1,798570,245256,84.4,230110,79.2,106239,113031,10643,197,477393,164239,708659,0,0,0,0,0,0,0,0,0,0,0
Indian Health Svc,2008065,96411,N/A,1583959,76049,1456879,N/A,879193,42.2,806819,N/A,722881,34.7,668316,N/A,944805,988560,74700,0,30663,806912,746384,0,357397,334952,30532,0,357116,280723,30477,0,692448,42.2,806819,N/A,33.2,637934,0,879193,153570,0,129271,0,73361,52898,3012,0,284560,0,0,878790,0,722711,0,357323,334877,30511,0,1583371,0,0
Illinois,17120465,135107,173742,14755639,116445,13678342,138811,8417342,66.4,7786514,79,6536388,51.6,6098533,61.9,9694065,6575700,850700,0,534179,5463521,8740248,17691,2336158,3671921,522614,5695,2329681,3243057,520178,5617,6015839,66.4,7786514,79,47.5,5580403,56.6,8417342,1918350,93.9,1576073,77.1,716154,783993,73212,2714,3515235,172043,837911,8391393,77.4,6521834,60.2,2336114,3657439,522586,5695,14714355,135769,157970
Indiana,7843930,116513,151889,6472711,96145,6103503,118188,3403467,50.6,3203753,62,3138950,46.6,2975701,57.6,4358670,3057760,427500,0,245024,2442139,3762221,23327,1144138,1746801,240966,7045,1143877,1584091,240751,6982,2899770,50.6,3203753,62,43.1,2736710,53,3403467,928982,85.6,900333,82.9,443858,425050,27920,3505,1876546,172835,722448,3403107,59.7,3138809,55,1144124,1746694,240946,7045,6472278,113448,137491
Kansas,3634285,124747,164220,2943920,101051,2755759,124522,1685219,57.8,1574192,71.1,1420338,48.8,1337247,60.4,1947345,1513440,173500,0,102694,1192238,1648044,944,553151,765502,101336,349,552858,682821,101243,325,1319472,57.8,1574192,71.1,45.3,1236470,55.9,1685219,457685,96.3,395338,83.1,189896,188626,16645,171,828433,174228,764329,1685091,68.7,1420315,57.9,553144,765493,101329,349,2943789,120071,148235
Kentucky,5357075,119907,154614,4619502,103398,4359220,125814,2581482,57.8,2431725,70.2,2193536,49.1,2083166,60.1,2735595,2354980,266500,0,191542,1957960,2469285,715,885637,1117999,188872,1028,885439,1007970,188755,1002,2005345,57.8,2431725,70.2,44.9,1895090,54.7,2581482,680063,90.6,614263,81.8,280176,296341,37187,559,1259254,167774,713740,2581092,67.8,2193468,57.6,885625,1117972,188844,1027,4618377,121339,140747
Louisiana,5417300,116531,152122,4266101,91768,4053720,113831,2325433,50,2199348,61.8,1966214,42.3,1881437,52.8,2860080,2319120,238100,0,153271,1818785,2292705,1340,808427,1011157,146015,615,808021,926942,145866,608,1820825,50,2199348,61.8,39.2,1736194,48.8,2325433,635604,85.8,597908,80.7,283944,292971,20854,139,1255811,169470,731058,2325172,59.3,1966126,50.1,808407,1011109,145995,615,4265778,108729,138080
Massachusetts,10579470,153492,190975,9527318,138227,8848992,159738,5218847,75.7,4845288,87.5,4569846,66.3,4262878,77,5836710,4298060,444700,0,324611,3723504,5478985,218,1709016,2534436,326288,106,1703734,2233969,325084,91,4244895,75.7,4845288,87.5,61.6,3939124,71.1,5218847,1154350,98.7,1029983,88.1,467391,494647,67911,34,2133308,182438,904745,5202071,86.5,4558374,75.8,1709008,2522979,326281,106,9498811,157873,175834
Maryland,9513070,157353,201933,7660662,126713,7090678,150513,4149088,68.6,3839249,81.5,3744783,61.9,3488033,74,5394690,3677980,440400,0,290277,2875053,4485301,10031,1349493,2108079,284422,2789,1349098,1852013,284231,2691,3463433,68.6,3839249,81.5,57.3,3206843,68.1,4149088,911080,95,858399,89.5,407450,398146,52035,768,1734294,180769,991569,4148541,80.4,3744596,72.5,1349457,2107960,284391,2788,7660159,148370,184259
Maine,2052590,152698,187388,1755264,130579,1651310,150754,968137,72,913324,83.4,889933,66.2,842107,76.9,1070370,879120,103100,0,113823,722255,918381,805,342513,434900,112319,201,342459,387212,112252,184,777991,72,913324,83.4,57.9,730225,66.7,968137,278023,97.5,263963,92.5,120571,120796,22513,83,524661,183921,719538,968033,81.7,889900,75.1,342508,434892,112299,201,1755151,148122,173224
Marshall Islands,51300,87823,112755,38803,66429,38699,85058,21600,37,21522,47.3,18863,32.3,18824,41.4,0,40500,10800,0,1748,37055,0,0,17112,11,1740,0,17083,9,1732,0,17127,37,21522,47.3,29.3,17096,37.6,21600,1242,12.5,1075,10.9,988,0,87,0,2232,22552,518339,21578,43.3,18853,37.8,17104,11,1738,0,38773,77726,102839
Michigan,13032980,130501,166175,10249429,102629,9672526,123328,5543452,55.5,5231406,66.7,5070925,50.8,4808320,61.3,6941100,5440080,651800,0,359270,4075762,5812858,1539,1949376,2755144,365567,838,1948782,2493441,365304,793,4706559,55.5,5231406,66.7,47.1,4444189,56.7,5543452,1541423,87.3,1463203,82.9,730772,666225,65702,504,2943081,166709,738245,5543054,64.5,5070818,59,1949355,2755073,365553,837,10248980,119243,151634
Minnesota,7444850,132009,171680,6432013,114050,5968435,137633,3505778,62.2,3258185,75.1,3176678,56.3,2962480,68.3,4192710,2902840,349300,0,287553,2433635,3709066,1759,1142455,1745254,288379,590,1140382,1533671,287855,572,2889399,62.2,3258185,75.1,51.2,2675715,61.7,3505778,865699,94.1,814843,88.5,343212,423907,47596,128,1643011,178514,808887,3494642,73.1,3168611,66.3,1142443,1737220,288358,590,6412554,134208,155812
Missouri,7484565,121950,157013,6018936,98069,5674730,119046,3262960,53.2,3072079,64.4,2803243,45.7,2657362,55.7,4180185,2992980,311400,0,199937,2212924,3605320,755,1005001,1596434,201613,195,1004692,1451109,201397,164,2602699,53.2,3072079,64.4,42.4,2457018,51.5,3262960,903795,85.1,820055,77.2,374767,408516,36702,70,1740520,163885,704737,3262581,62.3,2803184,53.5,1004991,1596403,201595,195,6018547,114952,142952
Northern Mariana Islands,79080,139025,178494,67602,118846,59544,134399,35128,61.8,30828,69.6,32868,57.8,29107,65.7,56280,20200,2600,0,745,9181,57676,0,4201,27919,748,0,4200,24159,748,0,32121,61.8,30828,69.6,56.5,28360,64,35128,2894,30,2828,29.3,450,2292,86,0,5751,59670,820502,35128,72.3,32868,67.7,4201,27919,748,0,67602,139167,162796
