Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:20:48 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,WA,,,,,,,0,0,,,
Admin,2020-12-14,WA,0,0,0,0,0,0,,,0,0,0
Report,2020-12-14,WA,,,,,,,0,0,,,
Admin,2020-12-15,WA,54,54,54,54,18,18,,,3,3,1
Report,2020-12-15,WA,,,,,,,0,0,,,
Admin,2020-12-16,WA,1980,1737,2034,1791,448,508,,,2,5,1
Report,2020-12-16,WA,,,,,,,0,0,,,
Admin,2020-12-17,WA,3730,3283,5764,5074,1015,1152,,,1,6,1
Report,2020-12-17,WA,,,,,,,10,2,,,
Admin,2020-12-18,WA,9277,8713,15041,13787,2298,2506,,,22,28,4
Report,2020-12-18,WA,,,,,,,1149,193,,,
Admin,2020-12-19,WA,6672,6456,21713,20243,2892,3101,,,7,35,5
Report,2020-12-19,WA,,,,,,,2168,475,,,
Admin,2020-12-20,WA,4292,4284,26005,24527,3504,3715,,,0,35,5
Report,2020-12-20,WA,,,,,,,4480,1115,,,
Admin,2020-12-21,WA,8658,7770,34663,32297,4614,4951,,,10,45,6
Report,2020-12-21,WA,,,,,,,4944,1822,,,
Admin,2020-12-22,WA,7700,7454,42363,39751,5671,6044,,,5,50,6
Report,2020-12-22,WA,,,,,,,3524,2325,,,
Admin,2020-12-23,WA,9556,9117,51919,48868,6725,7126,,,14,64,8
Report,2020-12-23,WA,,,,,,,5938,3173,,,
Admin,2020-12-24,WA,6088,5467,58007,54335,7037,7463,,,11,75,9
Report,2020-12-24,WA,,,,,,,8082,4326,,,
Admin,2020-12-25,WA,289,288,58296,54623,5834,6179,,,1,76,6
Report,2020-12-25,WA,,,,,,,6590,5104,,,
Admin,2020-12-26,WA,3213,3119,61509,57742,5357,5685,,,10,86,7
Report,2020-12-26,WA,,,,,,,5344,5557,,,
Admin,2020-12-27,WA,5490,4870,66999,62612,5441,5856,,,15,101,9
Report,2020-12-27,WA,,,,,,,512,4991,,,
Admin,2020-12-28,WA,11426,10879,78425,73491,5885,6251,,,44,145,14
Report,2020-12-28,WA,,,,,,,0,4284,,,
Admin,2020-12-29,WA,16361,15470,94786,88961,7030,7489,,,79,224,24
Report,2020-12-29,WA,,,,,,,3763,4318,,,
Admin,2020-12-30,WA,16184,15399,110970,104360,7927,8435,,,104,328,37
Report,2020-12-30,WA,,,,,,,7715,4572,,,
Admin,2020-12-31,WA,11233,10655,122203,115015,8669,9170,,,39,367,41
Report,2020-12-31,WA,,,,,,,9858,4826,,,
Admin,2021-01-01,WA,2245,1974,124448,116989,8909,9450,,,40,407,47
Report,2021-01-01,WA,,,,,,,9220,5202,,,
Admin,2021-01-02,WA,11431,9852,135879,126841,9871,10624,,,80,487,57
Report,2021-01-02,WA,,,,,,,9167,5748,,,
Admin,2021-01-03,WA,6478,5392,142357,132233,9946,10765,,,123,610,72
Report,2021-01-03,WA,,,,,,,2511,6033,,,
Admin,2021-01-04,WA,13465,11348,155822,143581,10013,11056,,,1257,1867,246
Report,2021-01-04,WA,,,,,,,7725,7137,,,
Admin,2021-01-05,WA,14581,12648,170403,156229,9610,10802,,,1594,3461,462
Report,2021-01-05,WA,,,,,,,4145,7192,,,
Admin,2021-01-06,WA,19453,15638,189856,171867,9644,11269,,,3535,6996,952
Report,2021-01-06,WA,,,,,,,8130,7251,,,
Admin,2021-01-07,WA,20738,15737,210594,187604,10370,12627,,,4755,11751,1626
Report,2021-01-07,WA,,,,,,,16379,8182,,,
Admin,2021-01-08,WA,23924,16685,234518,204289,12471,15724,,,6968,18719,2616
Report,2021-01-08,WA,,,,,,,13743,8829,,,
Admin,2021-01-09,WA,14909,9890,249427,214179,12477,16221,,,4902,23621,3304
Report,2021-01-09,WA,,,,,,,22147,10683,,,
Admin,2021-01-10,WA,9536,6327,258963,220506,12610,16658,,,3095,26716,3729
Report,2021-01-10,WA,,,,,,,18200,12924,,,
Admin,2021-01-11,WA,19981,13009,278944,233515,12848,17588,,,6731,33447,4511
Report,2021-01-11,WA,,,,,,,12771,13645,,,
Admin,2021-01-12,WA,22562,15652,301506,249167,13277,18729,,,6724,40171,5244
Report,2021-01-12,WA,,,,,,,7352,14103,,,
Admin,2021-01-13,WA,24285,18908,325791,268075,13744,19419,,,5086,45257,5465
Report,2021-01-13,WA,,,,,,,12671,14752,,,
Admin,2021-01-14,WA,25851,21499,351642,289574,14567,20149,,,4132,49389,5376
Report,2021-01-14,WA,,,,,,,17000,14841,,,
Admin,2021-01-15,WA,26149,21427,377791,311001,15245,20467,,,4557,53946,5032
Report,2021-01-15,WA,,,,,,,17368,15358,,,
Admin,2021-01-16,WA,22808,20824,400599,331825,16807,21596,,,1915,55861,4605
Report,2021-01-16,WA,,,,,,,21904,15324,,,
Admin,2021-01-17,WA,10485,8411,411084,340236,17104,21731,,,2018,57879,4451
Report,2021-01-17,WA,,,,,,,19781,15550,,,
Admin,2021-01-18,WA,21166,15223,432250,355459,17421,21900,,,5727,63606,4308
Report,2021-01-18,WA,,,,,,,20508,16655,,,
Admin,2021-01-19,WA,30567,23865,462817,379324,18594,23044,,,6481,70087,4273
Report,2021-01-19,WA,,,,,,,16401,17948,,,
Admin,2021-01-20,WA,36581,29012,499398,408336,20037,24801,,,7296,77383,4589
Report,2021-01-20,WA,,,,,,,25565,19790,,,
Admin,2021-01-21,WA,42982,36633,542380,444969,22199,27248,,,6109,83492,4871
Report,2021-01-21,WA,,,,,,,26658,21169,,,
Admin,2021-01-22,WA,44547,38531,586927,483500,24643,29876,,,5788,89280,5047
Report,2021-01-22,WA,,,,,,,29712,22933,,,
Admin,2021-01-23,WA,37890,33046,624817,516546,26389,32031,,,4709,93989,5446
Report,2021-01-23,WA,,,,,,,33862,24641,,,
Admin,2021-01-24,WA,21237,17632,646054,534178,27706,33567,,,3388,97377,5642
Report,2021-01-24,WA,,,,,,,12388,23585,,,
Admin,2021-01-25,WA,31436,23584,677490,557762,28900,35034,,,7690,105067,5923
Report,2021-01-25,WA,,,,,,,39400,26284,,,
Admin,2021-01-26,WA,42852,31462,720342,589224,29986,36789,,,10987,116054,6566
Report,2021-01-26,WA,,,,,,,18825,26630,,,
Admin,2021-01-27,WA,41336,30479,761678,619703,30195,37468,,,10297,126351,6995
Report,2021-01-27,WA,,,,,,,26835,26811,,,
