State,Population,Vax_Population,Unvax_Population,Cases in Last 7 Days,7-Day Avg Total Doses Daily,Vaccine_Distribution_By_Unvax_Population,Vaccine_Distribution_By_Infection_Rate,Optimal_Distribution
Alabama,4921532,2474109,2447423,27217.0,11436.0,192592,260022,192592.0
Alaska,731158,400061,331097,3718.0,801.0,26054,35520,26054.0
Arizona,7421401,4172707,3248694,22064.0,8145.0,255646,210792,210792.0
Arkansas,3030522,1624010,1406512,13933.0,5109.0,110681,133111,110681.0
California,39368078,27416982,11951096,52719.0,56039.0,940456,503660,940456.0
Colorado,5807719,3671740,2135979,9151.0,8609.0,168084,87425,87425.0
Connecticut,3557006,2640590,916416,4427.0,4690.0,72114,42294,42294.0
Delaware,986809,627891,358918,2739.0,1140.0,28244,26167,26167.0
District of Columbia,712816,480540,232276,1310.0,682.0,18278,12515,12515.0
Florida,21733312,13839624,7893688,107668.0,45014.0,621170,1028624,1028624.0
Georgia,10710017,5516935,5193082,63788.0,12214.0,408654,609409,551995.0
Hawaii,1407006,1057042,349964,6213.0,1728.0,27539,59356,27539.0
Idaho,1826913,798570,1028343,7657.0,1953.0,80922,73152,73152.0
Illinois,12587530,8417342,4170188,30319.0,14591.0,328160,289657,328160.0
Indiana,6754953,3403467,3351486,29780.0,7434.0,263735,284508,263735.0
Iowa,3163561,1786061,1377500,8852.0,3084.0,108398,84569,84569.0
Kansas,2913805,1685219,1228586,11350.0,3836.0,96679,108434,96679.0
Kentucky,4477251,2581482,1895769,24997.0,8485.0,149182,238813,149182.0
Louisiana,4645318,2325433,2319885,17104.0,4325.0,182556,163405,163405.0
Maine,1350141,968137,382004,2725.0,1557.0,30060,26033,26033.0
Maryland,6055802,4149088,1906714,8306.0,9125.0,150043,79352,79352.0
Massachusetts,6893574,5218847,1674727,11789.0,7373.0,131787,112628,112628.0
Michigan,9966555,5543452,4423103,16254.0,7825.0,348063,155285,155285.0
Minnesota,5657342,3505778,2151564,11228.0,6646.0,169311,107268,107268.0
Mississippi,2966786,1419781,1547005,16567.0,5094.0,121737,158275,121737.0
Missouri,6151548,3262960,2888588,16248.0,9197.0,227309,155228,155228.0
Montana,1080577,562607,517970,3871.0,1165.0,40760,36982,36982.0
Nebraska,1937552,1117695,819857,4822.0,1816.0,64516,46067,46067.0
Nevada,3138259,1800664,1337595,8036.0,4386.0,105258,76773,76773.0
New Hampshire,1366275,919871,446404,2188.0,1223.0,35128,20903,20903.0
New Jersey,8882371,6257106,2625265,13980.0,14755.0,206587,133560,206587.0
New Mexico,2106319,1480470,625849,5881.0,3170.0,49249,56185,49249.0
New York,19336776,13236154,6100622,31428.0,34831.0,480070,300252,480070.0
North Carolina,10600823,5917739,4683084,48097.0,18004.0,368521,459502,459502.0
North Dakota,765309,371650,393659,2717.0,1059.0,30977,25957,25957.0
Ohio,11693217,6167187,5526030,38540.0,8536.0,434854,368198,368198.0
Oklahoma,3980783,2136791,1843992,14593.0,7811.0,145107,139416,139416.0
Oregon,4241507,2720850,1520657,15472.0,5480.0,119663,147814,119663.0
Pennsylvania,12783254,8945765,3837489,23127.0,13037.0,301980,220947,301980.0
Rhode Island,1057125,765296,291829,2041.0,1309.0,22964,19499,19499.0
South Carolina,5218040,2692396,2525644,37113.0,9722.0,198748,354565,198748.0
South Dakota,892717,502941,389776,3079.0,1259.0,30672,29415,29415.0
Tennessee,6886834,3430113,3456721,49547.0,11853.0,272016,473355,272016.0
Texas,29360759,16712108,12648651,128131.0,59369.0,995348,1224121,1224121.0
Utah,3249879,1822807,1427072,9554.0,130.0,112299,91275,91275.0
Vermont,623347,476505,146842,875.0,297.0,11555,8359,8359.0
Virginia,8590563,5614437,2976126,23557.0,10757.0,234197,225055,225055.0
Washington,7693612,5211706,2481906,24502.0,11073.0,195306,234084,195306.0
West Virginia,1784787,847140,937647,9823.0,862.0,73785,93845,73785.0
Wisconsin,5832655,3442840,2389815,13882.0,7966.0,188059,132624,132624.0
Wyoming,582328,265857,316471,3739.0,638.0,24903,35721,24903.0
